,galactose,acetate,pyruvate,glycerol,fructose,succinate,glucose,glycerol+aa,lb
B8LFD5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D8FH86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D9IX93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E1MTY0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P0CE60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P23477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0002,0.000420727813516,0.000411112229685,0.00182635788636,0.000794887586541,0.00146068634257,0.00066320251141,0.000900578381115,0.00020711023091,0.000225784980984
b0003,2.33442088075e-05,2.79795745457e-05,5.69392691371e-05,2.83400317963e-05,4.07106443041e-05,2.62637957517e-05,3.53931668906e-05,1.3169318232e-05,1.74147784712e-05
b0004,0.000501578665437,0.000577340927959,0.00186212262673,0.000997620374418,0.00116187961936,0.000929652090544,0.00121948700702,0.000214020605933,0.000193499694394
b0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0006,2.6059293965e-05,2.79310056565e-05,3.39370877813e-05,3.37874317056e-05,4.20176251762e-05,3.10290232343e-05,4.21160703753e-05,3.52458139795e-05,3.83425828056e-05
b0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0008,0.000619221846928,0.000517958768753,0.000795485830787,0.000758339747208,0.000749099913751,0.000660387715899,0.000663278158778,0.000851391148797,0.000653158331312
b0009,6.45093639584e-07,2.23564181171e-06,2.06875103439e-06,1.76447497091e-06,6.73575643658e-07,7.43810216135e-07,1.77445669575e-06,3.63534783135e-06,4.51085260082e-06
b0010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0014,0.00173583474223,0.00214331916833,0.00184169401417,0.00233164323506,0.00220190626042,0.00265102065093,0.00227840267348,0.00350561607756,0.00484552128777
b0015,3.98192530603e-05,4.44359387211e-05,4.87235567564e-05,5.80912360638e-05,4.22835554337e-05,4.79029397506e-05,5.01312276467e-05,8.06369531253e-05,9.69257307653e-05
b0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0023,0.000244260463642,0.000230220176642,0.000310494262093,0.000389061261054,0.00044443888796,0.000342369240538,0.000494913245956,0.000565581222751,0.000847934728987
b0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0025,9.05310445346e-06,7.57568454372e-06,9.85563958388e-06,1.02122013241e-05,1.00305119076e-05,7.85369899033e-06,9.84505908405e-06,7.93229932109e-06,8.73260982643e-06
b0026,0.000322187951485,0.000307611376573,0.000403209605668,0.000360629671668,0.00035841207658,0.000319083132366,0.00040030919258,0.000321983951849,0.000353103106113
b0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0028,4.54427268055e-05,5.38744675761e-05,3.80428630358e-05,4.1509269574e-05,4.78239921991e-05,3.81156103255e-05,3.5755607403e-05,5.65745868501e-05,5.25316797675e-05
b0029,7.2995037902e-06,9.04902723384e-06,1.25870492859e-05,1.37138173492e-05,1.12144354876e-05,9.12636995185e-06,1.3826926772e-05,1.840316352e-05,1.75323942781e-05
b0030,1.01799378046e-05,1.5062412786e-05,1.66808100553e-05,1.31740687106e-05,4.75484850044e-06,1.6401088494e-05,2.44268657096e-06,3.14233084066e-05,4.6476055454e-05
b0031,6.9958430906e-05,0.000101884892831,9.57489487383e-05,9.60851161928e-05,0.000111562255049,6.25532857156e-05,0.000157022331931,6.53178147374e-05,8.51779018007e-05
b0032,0.00032532591529,0.000268421456725,0.000333102753837,0.000459723353884,0.000529935077486,0.00044744536878,0.000679482965865,3.92955941167e-05,3.84882351541e-05
b0033,0.000449301091032,0.000390435505759,0.000438199716787,0.000640704964408,0.000740274343385,0.00059914565232,0.000928045744241,0.000104432449642,5.68402977736e-05
b0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0036,5.91803352031e-07,7.2838473396e-07,5.44148419202e-07,6.29741708639e-07,0.0,1.21454827988e-06,2.96592815398e-06,0.0,3.76621583691e-07
b0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0046,7.05414763063e-07,9.45670708874e-07,4.32369650282e-07,1.27445706243e-06,0.0,1.2478404945e-06,1.62249405895e-06,0.0,7.67247105872e-07
b0047,3.73565171445e-07,5.19138807246e-07,3.57523480281e-07,5.07845852672e-07,3.84944432168e-07,5.80481122565e-07,2.67873535449e-07,2.68999489379e-07,2.87868778497e-07
b0048,7.1388566429e-06,6.96859121368e-06,1.02796486511e-05,1.02007597565e-05,8.08117302606e-06,8.0890623273e-06,9.40171007558e-06,2.08627194381e-05,1.20491359782e-05
b0049,2.56108958664e-06,3.45645161207e-06,2.85929618816e-06,2.43684050698e-06,1.64773916871e-06,2.4373538035e-06,3.17021578008e-06,2.61433189185e-06,3.3739950814e-06
b0050,5.67375756219e-07,5.95838578143e-07,4.46017334034e-07,3.60781031306e-07,2.43749536684e-07,3.13727980882e-07,3.19403729929e-07,2.06599493163e-07,2.69513291124e-07
b0051,5.11655256391e-06,7.37816992301e-06,8.54275740795e-06,9.94691508151e-06,9.22271240376e-06,8.70148928004e-06,1.36171238483e-05,1.27347230457e-05,1.60856221793e-05
b0052,1.03273069161e-05,1.09072943625e-05,1.23345381826e-05,1.11115381251e-05,9.48766180842e-06,9.72766611376e-06,1.14476720938e-05,7.33019434371e-06,7.34035130025e-06
b0053,0.00012747637277,9.30581102132e-05,0.000114851434934,0.000117101949612,0.000113226452867,0.000109620018606,0.000130191253591,0.000112665220983,0.000141311894949
b0054,7.60221451795e-05,5.78979925111e-05,6.42236895542e-05,6.21083216188e-05,5.42567007071e-05,5.90859281482e-05,8.31667180668e-05,8.52354886931e-05,9.62475592217e-05
b0055,2.07696930779e-06,1.35811736151e-07,1.32948316295e-06,2.19971830149e-06,2.38298877743e-06,1.68726128157e-06,5.47232815996e-08,9.32090990366e-08,1.43473534808e-09
b0058,3.76597997994e-06,3.40649168258e-06,2.82672996866e-06,5.26362209654e-06,0.0,3.9740653184e-06,5.20436974071e-06,0.0,1.12469261595e-05
b0059,1.16519887e-05,1.56701350467e-05,1.18823091768e-05,1.545763397e-05,1.78844320628e-05,1.2961127115e-05,1.63314923733e-05,2.67222650078e-05,6.95094604559e-05
b0060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0068,9.55980883716e-07,1.50642796754e-06,2.38531475508e-06,1.86730104433e-06,1.38509238818e-06,1.91213730091e-06,1.18411229015e-06,2.05825384753e-06,3.46641318324e-06
b0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0071,0.000267508903485,0.000327240712636,0.000165271895092,0.000222539633445,0.000210270631354,0.000276107941832,0.000203948461604,2.63250662154e-05,1.2171877233e-05
b0072,0.000258800161266,0.000387583933112,0.000211911781986,0.000277600525107,0.000218451835331,0.000272683278695,0.000244242361953,4.68233142463e-05,3.27254827813e-05
b0073,0.000691092775097,0.000626399164581,0.000237440580886,0.000378990513514,0.00033754226789,0.000339345864428,0.000321242014283,3.90155115002e-05,2.74898959105e-05
b0074,0.000557382811013,0.00053190922585,0.000241359648199,0.000369249797032,0.000371072447112,0.000387581866015,0.000275252865059,6.72635314551e-05,5.94785116602e-05
b0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0077,3.99096871973e-05,4.23593243149e-05,5.85763036295e-05,5.66260843802e-05,4.74784533882e-05,3.7469820066e-05,4.91799239125e-05,8.82293136951e-06,8.39920093568e-06
b0078,5.26651079937e-05,3.54681603998e-05,4.83126679141e-05,4.27099788687e-05,5.90195630619e-05,4.91290169948e-05,4.88232971152e-05,1.07712260213e-05,9.25991601893e-06
b0080,2.07348791906e-05,2.14798180819e-05,2.45279786036e-05,1.82991840576e-05,1.79164849403e-05,2.37377757739e-05,9.98210204914e-06,1.1785281991e-05,1.65383239071e-05
b0081,6.26854303365e-06,5.83915028849e-06,5.6852197733e-06,4.51383712005e-06,3.48320225958e-06,3.20478481987e-06,4.55021979795e-06,2.49210762652e-06,1.73402639733e-06
b0082,2.3960793587e-05,2.35161373091e-05,3.02079121727e-05,2.20910209204e-05,2.60340249668e-05,2.40557425719e-05,2.30819909374e-05,1.75674498902e-05,2.03704382915e-05
b0083,2.15018633637e-07,7.62917517088e-07,1.32806677934e-06,1.00803323872e-06,5.86784475936e-07,7.96264290913e-07,1.41800185056e-06,5.78459983526e-07,1.1864714853e-06
b0084,1.29881308798e-06,2.07672238654e-06,3.20659352723e-06,1.67168359855e-06,1.53439764014e-06,1.8289162587e-06,1.29930472898e-06,1.81025119248e-06,1.96679677122e-06
b0085,3.66503122506e-05,5.94187520367e-05,5.39587577419e-05,3.81885147496e-05,3.94185478641e-05,3.65432304342e-05,4.83854645022e-05,3.89040780045e-05,4.38151901948e-05
b0086,2.56968190317e-05,5.28351696854e-05,4.73515563023e-05,4.29232238564e-05,2.50659187097e-05,2.43103153226e-05,4.45973534218e-05,4.13804531063e-05,4.73055241316e-05
b0087,1.33826780077e-06,1.60519502833e-06,2.66221595449e-06,1.86436714228e-06,1.44860716873e-06,8.03375224935e-07,1.4405777565e-06,8.66511937617e-07,1.36853165877e-06
b0088,5.0878623673e-06,7.06338672451e-06,7.79173874537e-06,6.175196418e-06,5.84779042661e-06,5.55472213676e-06,6.76237898729e-06,6.32462557164e-06,6.32251515343e-06
b0089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0090,6.07960016478e-06,6.12381870578e-06,8.31538797782e-06,6.55685150425e-06,7.4596266076e-06,7.17988238732e-06,6.16612269635e-06,4.88377698777e-06,5.90455397634e-06
b0091,2.95975407316e-05,3.77126776062e-05,4.28460788505e-05,3.49674878304e-05,3.62814655603e-05,3.77428180916e-05,4.13072750131e-05,3.08272137388e-05,4.21915177966e-05
b0092,3.33190409387e-05,3.58095196114e-05,3.41252989198e-05,2.95458206552e-05,2.93730600412e-05,2.95975556756e-05,2.97437072005e-05,2.64709504085e-05,3.51480217243e-05
b0093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0094,4.01776400677e-05,5.74118413349e-05,4.92377200937e-05,4.69178023026e-05,4.34823808789e-05,3.96761819613e-05,4.5901159583e-05,4.36940025724e-05,4.21001814504e-05
b0095,0.000284411662443,0.000280656077821,0.000338236916619,0.000332134980964,0.000353916588567,0.000343111113142,0.000433657638369,0.000403242791373,0.000373551825002
b0096,1.02728381732e-05,6.68457712248e-06,7.46958034029e-06,7.42102331489e-06,5.79097377095e-06,7.20154051239e-06,7.90917296801e-06,6.62942437723e-06,5.29565275234e-06
b0097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0098,0.000102715355979,0.000100646900881,0.000162219653044,0.000120898886727,0.000133636454295,0.000122846897164,0.000127679607661,0.000149382660628,0.000214652392817
b0099,6.79754839231e-10,5.22524589461e-09,6.2373760244e-07,4.01171222448e-08,0.0,7.4821774426e-08,9.57425117045e-08,0.0,1.33067159437e-08
b0101,1.42234366318e-07,8.29123287255e-07,1.27308707807e-06,1.16518944887e-06,4.06150266743e-08,3.04947283225e-07,1.22449660857e-06,1.55457929647e-06,2.18231325008e-06
b0102,1.84994976526e-05,1.1359971624e-05,1.18645566437e-05,1.45000247068e-05,1.85726379466e-05,1.60925698018e-05,1.47481351217e-05,1.43102985044e-05,1.83768110652e-05
b0103,1.74559929348e-06,3.18284827056e-06,2.93322902725e-06,1.76784910162e-06,1.83862133362e-06,1.55173631751e-06,2.86183858003e-06,3.71217914648e-06,1.66688601221e-06
b0104,6.20471677614e-05,5.3166905072e-05,9.15884734556e-05,8.18426675824e-05,7.40237221085e-05,8.43752214065e-05,7.58207730852e-05,3.25664154528e-05,5.3256596471e-05
b0106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0109,3.79174446172e-05,2.90072035201e-05,3.93747933582e-05,3.50673916325e-05,3.64454145625e-05,3.57583100476e-05,3.6638630617e-05,2.568692729e-05,2.18374045588e-05
b0110,4.70351177538e-06,5.26439290418e-06,5.0011418083e-06,4.15230537323e-06,0.0,5.15608139329e-06,6.08529336626e-06,0.0,3.99091515394e-06
b0111,7.31391438577e-09,4.09013172229e-07,4.48059171969e-07,2.18577993672e-07,2.18429064764e-08,3.25781023726e-08,2.33919069568e-07,1.89491491014e-07,3.86950397761e-07
b0112,4.89106295897e-06,9.45479083212e-06,1.11298010106e-05,1.31545907808e-05,1.15390293936e-05,1.09678600769e-05,1.75935159751e-05,9.70130875717e-07,1.45886077967e-06
b0113,1.56443680827e-06,3.35987310348e-06,1.91956329376e-05,2.69328085018e-06,4.30699983093e-06,2.07927552904e-06,5.33621010936e-06,1.85453211668e-06,3.65201738708e-06
b0114,0.000740520946864,0.000533199565303,0.00316787132042,0.000772599229237,0.00159500458812,0.000921174693983,0.00102683380545,0.000873597851045,0.00138180715213
b0115,0.000735552581319,0.000515739108517,0.0029174631829,0.000711720473685,0.00126276645715,0.000888276074262,0.00106072147166,0.000881851674,0.00173206465538
b0116,0.001040230104,0.00100550947462,0.00247705043675,0.00099612310533,0.00121444402557,0.00141547852631,0.00113122389575,0.00144996712921,0.00178966804592
b0117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0118,0.0027409943358,0.00467290336345,0.00308546265767,0.00192330743486,0.00139592817672,0.00356456345295,0.00125829760453,0.00215566028737,0.00182048256935
b0119,2.9102752452e-06,3.82979215575e-06,2.59064271164e-06,2.52633710845e-06,0.0,2.8200230789e-06,4.21417358985e-06,0.0,4.11831112228e-06
b0120,3.43219212598e-05,2.99688429564e-05,3.50974624643e-05,4.78956663711e-05,5.44638481818e-05,4.65560800329e-05,9.58401607578e-05,5.68743228931e-05,7.50609870617e-05
b0121,3.35975307251e-05,2.22386959068e-05,2.73998213955e-05,3.32890606755e-05,3.14501738929e-05,3.08910929705e-05,5.95426788565e-05,3.30700745765e-05,4.29592400525e-05
b0122,1.31993963687e-06,2.03038858901e-06,8.33077999457e-07,1.04296449854e-06,0.0,1.19281896138e-06,1.4953826613e-06,0.0,1.31802398168e-06
b0123,9.35852277607e-05,8.03510550386e-05,8.86806994125e-05,0.000107276632262,6.3175261488e-05,8.8517595922e-05,0.00010360399577,7.87416790308e-05,2.80988413048e-05
b0124,7.35750041418e-06,5.31406041003e-06,3.13066481785e-06,3.6028783221e-06,5.26026580718e-06,4.50554936398e-06,6.65527258847e-06,4.23975203918e-06,8.68241909767e-06
b0125,3.09581558051e-05,2.34165491284e-05,3.0472839206e-05,3.2184840854e-05,4.01001533423e-05,3.57549265587e-05,4.57827301542e-05,4.25667734826e-05,5.83899251918e-05
b0126,0.000120291932938,0.000116623154786,0.000128210444897,0.000122730242623,0.000140780818877,0.000112948897168,0.000161949536878,9.15055345031e-05,6.82637793279e-05
b0127,1.03194186026e-05,1.02574807568e-05,8.32526609905e-06,1.6665684261e-05,1.12551893883e-05,1.8367594477e-05,1.67075401717e-05,1.50477380214e-05,2.41013059512e-05
b0128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0131,6.53968320277e-06,8.10094036634e-06,1.20547295217e-05,1.00957491712e-05,1.12711526492e-05,8.27511175496e-06,1.62895364178e-05,1.1241408441e-05,8.79974562513e-06
b0132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0133,7.39390195568e-05,7.54659358079e-05,9.03377129029e-05,8.18431142273e-05,7.0676290253e-05,6.4180276922e-05,7.19836015192e-05,5.66826494583e-05,5.3246995773e-05
b0134,9.55646777046e-05,0.000163706405963,0.0001185974264,0.000120907885822,0.000106776843189,9.98071535318e-05,0.000129044375186,0.000100583523192,7.01576987616e-05
b0135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0142,5.43075978766e-06,6.33444269782e-06,6.85239957585e-06,5.77398604156e-06,0.0,6.3063568698e-06,6.85431640123e-06,0.0,8.04415911639e-06
b0143,2.63105242542e-06,1.56871734466e-06,2.99161822811e-06,3.37820849756e-06,4.03778199104e-06,3.57129674179e-06,4.13585046327e-06,2.75395561016e-06,4.69236872628e-06
b0144,1.29486138083e-06,2.02610442746e-06,3.26202812822e-06,2.90627791293e-06,0.0,3.15407945292e-06,2.93822531912e-06,0.0,6.79646450872e-06
b0145,0.000162383147265,0.000139733946148,0.000164065117076,0.000217135188805,0.00017485194201,0.000187199323147,0.000181484143926,0.000341000591228,0.000402841952014
b0146,7.55469257769e-07,8.34363149943e-07,5.03119831736e-07,1.0098712003e-06,0.0,9.70945932302e-07,1.99787195054e-06,0.0,1.65117402347e-06
b0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0149,1.27358051978e-05,1.13503770587e-05,2.3498127389e-05,1.50000253312e-05,2.20184178935e-05,1.44661103975e-05,1.51883591007e-05,1.28951908325e-05,1.15401400436e-05
b0150,0.000142611592633,0.000105080640535,0.00013426667472,0.000139306755931,0.000128819262215,0.000142315634628,0.000127118563142,0.000118019923212,5.30170485967e-05
b0151,2.1487753311e-06,3.16750548042e-06,1.83730485489e-06,7.00408607205e-06,0.0,4.63281259865e-06,7.90708089207e-06,0.0,6.79515742836e-06
b0152,1.07818171492e-06,1.51392001036e-06,2.13537081861e-06,1.8931930593e-06,0.0,3.00237045006e-06,2.66903812098e-06,0.0,1.53661670236e-06
b0153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0154,0.000179849270703,0.000152608706483,0.000196803088949,0.00021970183109,0.000207126088854,0.000183022241812,0.000233859146061,0.000218230135848,0.000201395545731
b0155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0156,5.8943097235e-05,4.73888160421e-05,6.88328119119e-05,7.9798636983e-05,7.9744442214e-05,8.50465384339e-05,7.73431317823e-05,7.66905772763e-05,5.46884035852e-05
b0157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0158,4.60037313925e-07,4.09911155136e-07,6.41928578871e-07,1.18554740259e-06,0.0,5.26371903849e-07,1.10361913777e-06,0.0,8.53229001589e-07
b0159,0.000119702155012,7.21531591514e-05,9.65181722475e-05,9.26596258397e-05,0.000103768005957,9.81019507515e-05,9.40520915412e-05,0.00010986187621,0.000101248379868
b0160,6.84163610001e-07,4.14442776607e-07,4.51807586184e-07,3.55408204219e-07,2.40263043203e-07,3.56724335919e-07,2.55675822161e-07,1.66961649611e-07,2.32643488896e-07
b0161,0.000191603949781,0.000165305205671,0.000611271571749,0.000315941104564,0.000343647190235,0.000209769378099,0.000291892065729,0.000131684023367,0.000149703135451
b0162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0163,7.47535102615e-05,6.41903804915e-05,6.62659354061e-05,7.30440610241e-05,5.36966366386e-05,5.83967101855e-05,4.56737545217e-05,3.79632435218e-05,2.61708484377e-05
b0164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0166,0.000276417803491,0.000299311173491,0.000415461503651,0.000416286544503,0.000514842750694,0.000289280708265,0.000582385352546,0.00028622947552,0.000292479734228
b0167,2.75517940689e-05,2.50646479828e-05,3.34237719284e-05,2.75333906003e-05,2.56133702337e-05,3.60738413029e-05,2.28259842135e-05,2.64998599056e-05,3.36374431935e-05
b0168,6.86532661914e-05,6.77296030621e-05,6.48155860772e-05,7.4005390204e-05,8.12487298073e-05,7.38586556991e-05,7.6837020089e-05,8.19971313636e-05,7.1444452147e-05
b0169,0.00101674212414,0.000764953568708,0.000891362409087,0.00120648380074,0.00167553470116,0.00129924395002,0.00138158036586,0.00153350298055,0.00223911345386
b0170,0.000574171303282,0.000533582731047,0.000777810593436,0.000877076696728,0.00091667846078,0.000730967718433,0.00107118548393,0.0014420629246,0.00158581207331
b0171,2.79867186759e-05,2.50660106291e-05,2.99550077063e-05,3.12296160031e-05,2.41497446324e-05,3.43628726372e-05,3.26503403276e-05,3.48205332904e-05,2.52518505427e-05
b0172,0.000122931662664,0.000140922492593,0.000162501204117,0.000163527116538,0.00014776979384,0.000142497883224,0.000206578308129,0.000189808428383,0.000201629445303
b0173,1.71995390701e-06,3.09646682684e-06,6.31056521995e-06,4.81314969252e-06,0.0,4.59589827828e-06,5.54969368278e-06,0.0,6.88218062828e-06
b0174,2.94680924548e-07,6.5591214982e-07,6.29775233034e-07,1.41070519659e-06,0.0,1.24213067897e-06,1.58250178595e-06,0.0,3.95494575778e-06
b0175,4.80626378573e-06,2.01835179236e-06,2.8692112844e-06,2.40530212617e-06,6.82507962039e-06,4.44888036377e-06,2.45828004291e-06,5.57062284586e-07,2.99579005515e-06
b0176,2.24580071098e-07,4.36952274607e-07,8.02016774502e-07,7.4919698413e-07,4.75500059773e-08,7.65663090944e-09,5.78190213526e-07,4.50656700871e-07,7.89703841142e-07
b0177,0.000258755480538,0.000231255725779,0.000357664481021,0.000326442914172,0.000292203194574,0.000275886653931,0.000325515013584,0.000347542998331,0.000321076155286
b0178,0.000265306123951,0.000146746074177,0.000209124059077,0.000180140677079,0.000233775152228,0.000224049949524,0.000257733341216,0.000277210999215,0.000274890153724
b0179,3.55224232218e-06,3.79091367601e-06,5.25322235739e-06,6.53874908206e-06,3.54114246589e-06,4.94975367644e-06,5.43909404164e-06,5.44794692371e-06,6.63327922912e-06
b0180,0.000143046092566,0.000104066922658,0.000113767016241,0.000136709982977,0.00016304051495,0.000132790324523,0.00014877795231,0.000154839485862,0.000182271286454
b0181,5.36806037852e-05,3.91587006161e-05,5.71128121849e-05,5.37635049479e-05,5.30861897497e-05,5.3588786343e-05,4.84753008621e-05,4.46713222871e-05,4.89495196041e-05
b0182,2.69046266007e-06,2.1493743849e-06,2.84329406337e-06,2.46308824042e-06,2.14565283911e-06,1.61273880808e-06,2.32342384733e-06,3.06928281809e-06,3.19206591654e-06
b0183,6.41580100316e-07,1.02808592134e-06,1.30849011628e-06,1.5328739823e-06,8.95093191903e-07,1.2826111791e-06,3.46734319534e-06,4.96031853558e-06,5.38740440789e-06
b0184,2.3544283241e-06,1.10557050794e-06,1.2733671218e-06,1.06470479119e-06,1.59444728817e-06,1.32256028361e-06,7.61858528276e-07,7.62910213118e-07,4.26186662032e-06
b0185,0.000186812694873,0.000149864509234,0.000205968552105,0.000206707787685,0.000187643499959,0.00017982004334,0.000238851899365,0.000314153860072,0.00032952368676
b0186,1.48082712832e-06,1.70498961862e-06,1.06897735882e-06,1.02304185775e-06,7.00087446116e-07,1.24173947117e-06,8.21055671901e-07,5.06118513211e-07,9.01808207245e-07
b0187,1.0600799046e-05,4.55956073426e-06,2.79475086545e-06,3.7164539051e-06,6.71703339908e-06,5.12876165249e-06,3.56204755525e-06,2.23762006315e-06,1.88533282526e-06
b0188,3.57807937458e-07,4.21848781958e-07,6.29693676829e-07,5.56792454824e-07,7.25230739592e-07,4.95467934701e-07,6.74735243678e-08,6.33323889363e-10,2.31254748944e-07
b0189,9.41792745301e-06,8.99837993254e-06,1.18658573108e-05,1.25514717667e-05,1.16409522125e-05,9.03020026232e-06,1.23982053255e-05,8.45687549283e-06,1.00259996457e-05
b0190,3.4700206419e-08,5.66363583505e-08,7.98389954812e-08,7.40134228444e-08,5.89139102502e-08,1.99516053579e-08,7.13905028163e-08,8.94170417991e-08,1.6675977157e-07
b0191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0192,1.1704367033e-06,6.01615774063e-07,3.93266732309e-07,4.84726311468e-07,5.2370891529e-07,6.88047416023e-07,3.39316743797e-07,7.16794859491e-07,6.13562260419e-07
b0193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0194,0.000394400110058,0.000315923169925,0.000411444769573,0.000451526079478,0.000523540151813,0.000477582152942,0.000487762653549,0.000487949431603,0.000481354035256
b0195,3.80797996035e-06,3.02568842502e-06,2.93804381711e-06,3.09829914465e-06,3.82055477233e-06,4.12464623135e-06,3.03098081683e-06,2.35835029935e-06,3.02725603195e-06
b0196,1.56963212179e-05,1.4607392579e-05,2.1430811187e-05,1.62740139842e-05,1.57175947822e-05,1.57571759218e-05,1.95397127097e-05,1.44657169018e-05,1.51190217939e-05
b0197,0.00102741842057,0.000792014559599,0.00109256333974,0.00125641037956,0.00105258446316,0.00103278633142,0.00155836638281,0.000395344946047,0.000136641461127
b0198,7.6410067764e-06,1.15940680142e-05,2.22440032946e-05,1.60376659429e-05,1.81795076948e-05,1.19977253793e-05,2.47968170233e-05,6.02416089963e-06,9.53217159854e-06
b0199,6.90041285571e-05,4.55535428368e-05,7.95500113096e-05,7.8117448966e-05,8.6436434249e-05,5.64519711254e-05,7.29958524296e-05,3.73614256819e-05,2.98696487671e-05
